"Indicator Code","Indicator Name","Aggregation method","Dataset","General comments","License Type","License URL","Long definition","Periodicity","Reference period","Short definition","Source","Topic","Unit of measure","Related indicators","Development relevance","Limitations and exceptions","Notes from original source","Statistical concept and methodology","Other web links","Base Period","Other notes","Previous Indicator Name","Related source links"
"SG.VAW.1519.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-19)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 15-19 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.1549.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15-49)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 15-49 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.1549.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49)","Weighted average","WDI","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women age 15-49 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","2000-2017","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women age 15-49 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","United Nations (UN), uri: https://unstats.un.org/sdgs/dataportal/database, note: Indicator code from the original source: VC_VAW_MARR; 	Indicator name from the original source: Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)








, publisher: UN Statistics Division, type: API;
Global Health Observatory, World Health Organization (WHO), uri: https://www.who.int/data/gho/data/indicators/indicator-details/GHO/proportion-of-ever-partnered-women-and-girls-aged-15-49-years-subjected-to-physical-and-or-sexual-violence-by-a-current-or-former-intimate-partner-in-the-previous-12-months, publisher: WHO","Violence","% of ever-partnered women and girls ages 15 years and older","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children.","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","Methodology: The indicator is calculated by the number of ever-partnered women (ages 15 and above) subjected to any act of physical violece, sexual violence or both divided by a current or former intimate partner in the previous 12 months divided by the number of ever-partnered women (aged 15 years and above) in the population multiplied by 100.  The main source of data are from the Demographic and Health Surveys (DHS), specialized surveys on violence against women and crime victimasation surveys.
Statistical concept(s): Physical violence is defined as acts that can physically hurt the victim, including, but not limited to: being slapped or having something thrown at you that could hurt you; being pushed or shoved; being hit with a fist or something else that could hurt; being kicked, dragged or beaten up; being choked or burnt on purpose; and/or being threatened with or actually having a gun, knife or other weapon used on you. Sexual violence is operationalized as: being physically forced to have sexual intercourse when you do not want to; having sexual intercourse out of fear for what your partner might do or through coercion; and/or being forced to do something sexual that you consider humiliating or degrading (Reference: WHO, Violence Against Women Prevalence Estimates, 2018. https://www.who.int/publications/i/item/9789240022256).  











Current intimate partner includes current or most recent husbands of ever-married women (and men they live with as if married) and the current intimate partner of never-married women. Former husband/intimate partner is a husband (or partner she is living with as if married) other than the current husband (or man she is living with as if married) for currently married women, any intimate partner for never-married women who do not currently have an intimate partner, and a husband/partner other than the most recent husband/partner for divorced, separated, or widowed women.","","","This is the Sustainable Development Goal indicator 5.2.1[https://unstats.un.org/sdgs/metadata/].","",""
"SG.VAW.15PL.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 15+)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 15+  who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.2024.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 20-24)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 20-24 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.2529.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 25-29)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 25-29 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.3034.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 30-34)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 30-34 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.3544.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 35-44)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 35-44 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.4554.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 45-54)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 45-54 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
"SG.VAW.5564.ME.ZS","Proportion of women subjected to physical and/or sexual violence in the last 12 months (modeled estimate, % of ever partnered women ages 55-64)","Weighted average","","","CC BY-4.0","https://datacatalog.worldbank.org/public-licenses#cc-by","Proportion of women subjected to physical and/or sexual violence in the last 12 months is the percentage of ever partnered women ages 55-64 who are subjected to physical violence, sexual violence or both by a current or former intimate partner in the last 12 months.","Annual","","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED)  (WHO, UN Women, UNICEF, UNSD, UNFPA, UNODC)","Violence","Percent","","Violence against women is an obstacle to the achievement of the objectives of equality, development and peace. It both violates and impairs or nullifies the enjoyment by women of their human rights and fundamental freedoms. Tolerance and experience of domestic violence are significant barriers to the empowerment of women and it has a negative health consequences for victims, especially with respect to the reproductive health of women and the physical, emotional, and mental health of their children","Collecting valid, reliable, and ethical data on domestic violence poses particular challenges because what constitutes violence or abuse varies across cultures and among individuals. In addition, a culture of silence usually surrounds domestic violence and can affect reporting.","","The United Nations Inter-Agency Working Group on Violence Against Women Estimation and Data (VAW-IAWGED) generated prevalence estimates of intimate partner violence against women and non-partner sexual violence against women using a multilevel regression model.   

The main sources of data on violence against women are: (i) specialized surveys on violence against women, for example surveys using the WHO multi-country study instrument and methodology or the European Union (EU)-wide survey on violence and (ii) modules on violence against women within larger national health surveys, such as the DHS and RHS. A small number of data points came from other surveys such as national crime victimization surveys or MICS. 

This assessment harmonized data for these two forms of violence by including all available surveys that met the following WHO study criteria: (1) population-based, (2) representative at a national or subnational level, (3) conducted between 2000 and 2018, and available by 2019, and (4) used acts-based measures. The assessment adjusted for age groups and differences in definition of violence to make them comparable. The country-level, regional, and global estimates are presented as 2018 data, but are derived from surveys spanning the period 2000 to 2018. 

Please refer to details of the methodology in the report: “Violence against women prevalence estimates, 2018: global, regional and national prevalence estimates for intimate partner violence against women and global and regional prevalence estimates for non-partner sexual violence against women”. Geneva: World Health Organization; 2021.","","","","",""
