kpiId;KpiName;value;DataType;period;StartDate;EndDate;CollectionFrequency
DOMV9a;Domestic Violence Incidents Level - Medium Risk;15.00 Number;Number;2011/2012_Apr;01/04/2011;30/04/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;36.00 Number;Number;2011/2012_Q1;01/04/2011;30/06/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;278.00 Number;Number;2011/2012;01/04/2011;31/03/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;9.00 Number;Number;2011/2012_May;01/05/2011;31/05/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;12.00 Number;Number;2011/2012_Jun;01/06/2011;30/06/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;50.00 Number;Number;2011/2012_Q2;01/07/2011;30/09/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;16.00 Number;Number;2011/2012_Jul;01/07/2011;31/07/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;13.00 Number;Number;2011/2012_Aug;01/08/2011;31/08/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;21.00 Number;Number;2011/2012_Sep;01/09/2011;30/09/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;18.00 Number;Number;2011/2012_Oct;01/10/2011;31/10/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;58.00 Number;Number;2011/2012_Q3;01/10/2011;31/12/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;13.00 Number;Number;2011/2012_Nov;01/11/2011;30/11/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;27.00 Number;Number;2011/2012_Dec;01/12/2011;31/12/2011;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;134.00 Number;Number;2011/2012_Q4;01/01/2012;31/03/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;52.00 Number;Number;2011/2012_Jan;01/01/2012;31/01/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;36.00 Number;Number;2011/2012_Feb;01/02/2012;29/02/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;46.00 Number;Number;2011/2012_Mar;01/03/2012;31/03/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;79.00 Number;Number;2012/2013_Q1;01/04/2012;30/06/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;31.00 Number;Number;2012/2013_Apr;01/04/2012;30/04/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;463.00 Number;Number;2012/2013;01/04/2012;31/03/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;26.00 Number;Number;2012/2013_May;01/05/2012;31/05/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;22.00 Number;Number;2012/2013_Jun;01/06/2012;30/06/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;91.00 Number;Number;2012/2013_Q2;01/07/2012;30/09/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;33.00 Number;Number;2012/2013_Jul;01/07/2012;31/07/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;37.00 Number;Number;2012/2013_Aug;01/08/2012;31/08/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;21.00 Number;Number;2012/2013_Sep;01/09/2012;30/09/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;153.00 Number;Number;2012/2013_Q3;01/10/2012;31/12/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;46.00 Number;Number;2012/2013_Oct;01/10/2012;31/10/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;50.00 Number;Number;2012/2013_Nov;01/11/2012;30/11/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;57.00 Number;Number;2012/2013_Dec;01/12/2012;31/12/2012;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;50.00 Number;Number;2012/2013_Jan;01/01/2013;31/01/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;140.00 Number;Number;2012/2013_Q4;01/01/2013;31/03/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;47.00 Number;Number;2012/2013_Feb;01/02/2013;28/02/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;43.00 Number;Number;2012/2013_Mar;01/03/2013;31/03/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;148.00 Number;Number;2013/2014_Q1;01/04/2013;30/06/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;621.00 Number;Number;2013/2014;01/04/2013;31/03/2014;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;36.00 Number;Number;2013/2014_Apr;01/04/2013;30/04/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;52.00 Number;Number;2013/2014_May;01/05/2013;31/05/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;60.00 Number;Number;2013/2014_Jun;01/06/2013;30/06/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;145.00 Number;Number;2013/2014_Q2;01/07/2013;30/09/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;63.00 Number;Number;2013/2014_Jul;01/07/2013;31/07/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;38.00 Number;Number;2013/2014_Aug;01/08/2013;31/08/2013;Monthly
DOMV9a;Domestic Violence Incidents Level - Medium Risk;44.00 Number;Number;2013/2014_Sep;01/09/2013;30/09/2013;Monthly
