Entity,Code,Year,16.2.1 - Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month (% of children aged 1-14 years) - VC_VAW_PHYPYV - 1 to 14 years old
Afghanistan,AFG,2023,87.6
Algeria,DZA,2019,84.1
Argentina,ARG,2020,59.4
Armenia,ARM,2016,68.9
Azerbaijan,AZE,2023,63
Bangladesh,BGD,2019,88.8
Belarus,BLR,2019,57
Belize,BLZ,2016,65.1
Benin,BEN,2022,88
Burkina Faso,BFA,2021,76.3
Burundi,BDI,2017,89.6
Cambodia,KHM,2022,66.4
Cameroon,CMR,2014,85
Central African Republic,CAF,2019,90
Chad,TCD,2019,85.3
Comoros,COM,2022,67
Congo,COG,2015,82.5
Costa Rica,CRI,2018,49.3
Cote d'Ivoire,CIV,2021,75.1
Cuba,CUB,2019,41.6
Democratic Republic of Congo,COD,2018,88.8
Dominican Republic,DOM,2019,63.5
Egypt,EGY,2021,82.9
El Salvador,SLV,2021,54.5
Eswatini,SWZ,2022,79.4
Fiji,FJI,2021,80.5
Gabon,GAB,2021,81
Gambia,GMB,2018,89.2
Georgia,GEO,2018,68.8
Ghana,GHA,2018,94
Guinea,GIN,2016,89.1
Guinea-Bissau,GNB,2019,75.8
Guyana,GUY,2020,72.5
Haiti,HTI,2017,83.2
Honduras,HND,2019,62.5
Iraq,IRQ,2018,80.9
Jamaica,JAM,2022,76
Jordan,JOR,2023,74.8
Kazakhstan,KAZ,2015,52.7
Kiribati,KIR,2019,92.1
Kyrgyzstan,KGZ,2023,64.9
Laos,LAO,2023,62.3
Least Developed Countries (LDCs),,2024,83.88
Lebanon,LBN,2016,56.9
Lesotho,LSO,2018,75.8
Liberia,LBR,2020,85.2
Madagascar,MDG,2018,86
Malawi,MWI,2020,82.1
Mali,MLI,2015,72.7
Mauritania,MRT,2015,80
Mexico,MEX,2023,52
Mongolia,MNG,2023,44.2
Montenegro,MNE,2018,65.8
Mozambique,MOZ,2023,55.4
Nauru,NRU,2023,80.6
Nepal,NPL,2019,82
Nigeria,NGA,2021,90.4
North Korea,PRK,2017,59.2
North Macedonia,MKD,2019,73.1
Northern Africa and Western Asia (UN SDG),,2024,77.51
Palestine,PSE,2020,90.1
Panama,PAN,2013,44.9
Paraguay,PRY,2016,52.1
Philippines,PHL,2022,58.8
Qatar,QAT,2023,37.6
Samoa,WSM,2020,90.8
Sao Tome and Principe,STP,2019,83.5
Serbia,SRB,2019,44.5
Sierra Leone,SLE,2017,86.5
Small Island Developing States (SIDS),,2024,69.96
Sri Lanka,LKA,2019,50.8
Sub-Saharan Africa (UN SDG),,2024,85.29
Sudan,SDN,2014,63.9
Suriname,SUR,2018,87.3
Tajikistan,TJK,2017,69
Thailand,THA,2022,53.8
Togo,TGO,2017,91.8
Tonga,TON,2019,86.6
Trinidad and Tobago,TTO,2022,67.2
Tunisia,TUN,2023,80.9
Turkey,TUR,2022,55.6
Turkmenistan,TKM,2019,68.6
Turks and Caicos Islands,TCA,2020,79.1
Tuvalu,TUV,2020,79.7
Uganda,UGA,2016,84.9
Uzbekistan,UZB,2022,62.2
Vanuatu,VUT,2023,88.7
Vietnam,VNM,2021,72.4
World,OWID_WRL,2024,77.34
Yemen,YEM,2023,85.5
Zimbabwe,ZWE,2019,64.1
